system:time_start,ARVI
7-Jan-18,1.017
12-Jan-18,1.026
14-Jan-18,1.325
24-Jan-18,0.924
27-Jan-18,0.999
27-Jan-18,0.856
1-Feb-18,
1-Feb-18,0.973
6-Feb-18,1.074
6-Feb-18,1.041
6-Feb-18,0.993
6-Feb-18,0.929
8-Feb-18,0.814
11-Feb-18,0.963
11-Feb-18,0.968
11-Feb-18,1.078
11-Feb-18,0.78
16-Feb-18,0.966
16-Feb-18,1.016
16-Feb-18,0.687
16-Feb-18,0.819
18-Feb-18,0.786
21-Feb-18,1.207
21-Feb-18,0.889
21-Feb-18,0.985
21-Feb-18,0.951
26-Feb-18,1.023
26-Feb-18,1.02
26-Feb-18,0.978
26-Feb-18,0.719
28-Feb-18,0.777
3-Mar-18,0.756
3-Mar-18,
3-Mar-18,0.998
3-Mar-18,
8-Mar-18,0.885
10-Mar-18,0.676
13-Mar-18,0.709
13-Mar-18,0.895
13-Mar-18,0.8
18-Mar-18,0.806
18-Mar-18,0.912
18-Mar-18,0.749
23-Mar-18,0.909
28-Mar-18,0.788
28-Mar-18,0.89
28-Mar-18,0.813
30-Mar-18,0.673
2-Apr-18,0.773
7-Apr-18,0.761
7-Apr-18,0.89
14-Apr-18,0.679
17-Apr-18,0.712
17-Apr-18,0.814
17-Apr-18,0.656
19-Apr-18,0.644
24-Apr-18,0.626
27-Apr-18,0.586
2-May-18,0.267
9-May-18,0.649
12-May-18,0.538
12-May-18,0.855
12-May-18,0.657
22-May-18,0.845
24-May-18,0.65
29-May-18,0.623
1-Jun-18,0.723
16-Jun-18,0.408
18-Jun-18,0.61
21-Jun-18,0.468
1-Jul-18,0.162
3-Jul-18,0.449
6-Jul-18,0.843
6-Jul-18,0.573
8-Jul-18,0.518
11-Jul-18,0.242
11-Jul-18,0.481
11-Jul-18,0.412
11-Jul-18,0.353
16-Jul-18,0.304
16-Jul-18,0.832
16-Jul-18,0.67
16-Jul-18,0.559
18-Jul-18,0.63
21-Jul-18,0.272
21-Jul-18,0.634
21-Jul-18,0.494
21-Jul-18,0.4
23-Jul-18,0.618
26-Jul-18,0.63
28-Jul-18,0.534
2-Aug-18,0.705
5-Aug-18,0.392
5-Aug-18,0.727
5-Aug-18,0.581
5-Aug-18,0.43
7-Aug-18,0.528
10-Aug-18,0.5
12-Aug-18,0.665
15-Aug-18,0.373
15-Aug-18,0.84
15-Aug-18,0.499
20-Aug-18,0.698
20-Aug-18,0.658
20-Aug-18,0.386
20-Aug-18,0.881
20-Aug-18,0.691
22-Aug-18,0.687
25-Aug-18,0.879
25-Aug-18,0.765
25-Aug-18,0.714
27-Aug-18,0.7
30-Aug-18,0.312
30-Aug-18,0.813
30-Aug-18,0.651
6-Sep-18,0.764
9-Sep-18,
9-Sep-18,0.641
11-Sep-18,1.039
14-Sep-18,0.278
14-Sep-18,0.307
14-Sep-18,0.748
14-Sep-18,0.632
19-Sep-18,
19-Sep-18,0.715
24-Sep-18,0.937
24-Sep-18,0.888
24-Sep-18,0.886
26-Sep-18,0.887
29-Sep-18,0.055
29-Sep-18,0.967
29-Sep-18,0.852
11-Oct-18,1.055
14-Oct-18,0.811
14-Oct-18,1.025
19-Oct-18,0.946
21-Oct-18,0.863
24-Oct-18,1.024
24-Oct-18,0.822
26-Oct-18,0.982
29-Oct-18,0.529
29-Oct-18,1.001
3-Nov-18,0.708
3-Nov-18,1.012
3-Nov-18,0.775
3-Nov-18,0.905
5-Nov-18,0.941
8-Nov-18,1.034
8-Nov-18,0.864
8-Nov-18,0.834
8-Nov-18,1.062
10-Nov-18,1.075
13-Nov-18,0.953
13-Nov-18,1.013
13-Nov-18,0.76
13-Nov-18,1.051
15-Nov-18,0.93
18-Nov-18,0.898
18-Nov-18,
18-Nov-18,0.905
18-Nov-18,1.019
20-Nov-18,0.994
23-Nov-18,0.233
28-Nov-18,0.954
28-Nov-18,0.349
3-Dec-18,0.962
3-Dec-18,0.823
3-Dec-18,0.933
3-Dec-18,1.061
5-Dec-18,1.11
8-Dec-18,1.015
8-Dec-18,0.874
8-Dec-18,0.92
8-Dec-18,1.048
10-Dec-18,0.998
13-Dec-18,0.989
13-Dec-18,0.93
13-Dec-18,0.885
13-Dec-18,1.053
15-Dec-18,0.948
18-Dec-18,0.901
18-Dec-18,0.971
18-Dec-18,0.88
18-Dec-18,0.88
18-Dec-18,0.972
20-Dec-18,0.982
23-Dec-18,1.047
23-Dec-18,1.115
23-Dec-18,0.922
23-Dec-18,1.068
25-Dec-18,1.095
28-Dec-18,0.948
28-Dec-18,0.921
28-Dec-18,0.255
28-Dec-18,0.255
30-Dec-18,0.872
2-Jan-19,0.901
2-Jan-19,1.022
2-Jan-19,0.866
2-Jan-19,1.089
4-Jan-19,0.975
7-Jan-19,0.952
7-Jan-19,
7-Jan-19,0.877
7-Jan-19,1.024
9-Jan-19,0.917
12-Jan-19,0.944
12-Jan-19,1.09
12-Jan-19,0.88
12-Jan-19,1.009
14-Jan-19,1.254
17-Jan-19,0.878
17-Jan-19,1.154
17-Jan-19,0.944
17-Jan-19,0.979
19-Jan-19,0.901
22-Jan-19,1.041
22-Jan-19,1.046
24-Jan-19,0.964
27-Jan-19,0.93
27-Jan-19,0.912
27-Jan-19,
27-Jan-19,1.026
1-Feb-19,0.887
1-Feb-19,1.025
1-Feb-19,0.959
3-Feb-19,0.861
6-Feb-19,0.93
11-Feb-19,0.808
11-Feb-19,0.888
11-Feb-19,0.65
11-Feb-19,1.018
13-Feb-19,0.819
16-Feb-19,0.801
16-Feb-19,0.741
16-Feb-19,0.782
16-Feb-19,0.943
18-Feb-19,0.794
21-Feb-19,0.862
23-Feb-19,0.835
26-Feb-19,0.913
26-Feb-19,0.719
26-Feb-19,0.992
3-Mar-19,0.747
3-Mar-19,0.74
3-Mar-19,0.622
3-Mar-19,0.933
5-Mar-19,0.758
8-Mar-19,0.771
10-Mar-19,0.779
13-Mar-19,0.744
15-Mar-19,0.707
18-Mar-19,0.731
23-Mar-19,0.963
28-Mar-19,0.93
4-Apr-19,0.712
7-Apr-19,0.866
7-Apr-19,0.341
7-Apr-19,0.844
12-Apr-19,0.806
12-Apr-19,0.848
19-Apr-19,0.674
24-Apr-19,0.686
27-Apr-19,0.54
27-Apr-19,0.713
27-Apr-19,0.859
2-May-19,0.594
2-May-19,
12-May-19,0.616
12-May-19,0.701
12-May-19,0.422
14-May-19,0.611
17-May-19,0.789
1-Jun-19,0.614
1-Jun-19,0.668
1-Jun-19,0.495
1-Jun-19,0.857
6-Jun-19,0.694
6-Jun-19,0.389
6-Jun-19,0.832
8-Jun-19,0.623
11-Jun-19,0.195
11-Jun-19,0.629
