system:time_start,ARVI
"Jan 7, 2018",1.017
"Jan 12, 2018",1.026
"Jan 14, 2018",1.325
"Jan 24, 2018",0.924
"Jan 27, 2018",0.999
"Jan 27, 2018",0.856
"Feb 1, 2018",
"Feb 1, 2018",0.973
"Feb 6, 2018",1.074
"Feb 6, 2018",1.041
"Feb 6, 2018",0.993
"Feb 6, 2018",0.929
"Feb 8, 2018",0.814
"Feb 11, 2018",0.963
"Feb 11, 2018",0.968
"Feb 11, 2018",1.078
"Feb 11, 2018",0.78
"Feb 16, 2018",0.966
"Feb 16, 2018",1.016
"Feb 16, 2018",0.687
"Feb 16, 2018",0.819
"Feb 18, 2018",0.786
"Feb 21, 2018",1.207
"Feb 21, 2018",0.889
"Feb 21, 2018",0.985
"Feb 21, 2018",0.951
"Feb 26, 2018",1.023
"Feb 26, 2018",1.02
"Feb 26, 2018",0.978
"Feb 26, 2018",0.719
"Feb 28, 2018",0.777
"Mar 3, 2018",0.756
"Mar 3, 2018",
"Mar 3, 2018",0.998
"Mar 3, 2018",
"Mar 8, 2018",0.885
"Mar 10, 2018",0.676
"Mar 13, 2018",0.709
"Mar 13, 2018",0.895
"Mar 13, 2018",0.8
"Mar 18, 2018",0.806
"Mar 18, 2018",0.912
"Mar 18, 2018",0.749
"Mar 23, 2018",0.909
"Mar 28, 2018",0.788
"Mar 28, 2018",0.89
"Mar 28, 2018",0.813
"Mar 30, 2018",0.673
"Apr 2, 2018",0.773
"Apr 7, 2018",0.761
"Apr 7, 2018",0.89
"Apr 14, 2018",0.679
"Apr 17, 2018",0.712
"Apr 17, 2018",0.814
"Apr 17, 2018",0.656
"Apr 19, 2018",0.644
"Apr 24, 2018",0.626
"Apr 27, 2018",0.586
"May 2, 2018",0.267
"May 9, 2018",0.649
"May 12, 2018",0.538
"May 12, 2018",0.855
"May 12, 2018",0.657
"May 22, 2018",0.845
"May 24, 2018",0.65
"May 29, 2018",0.623
"Jun 1, 2018",0.723
"Jun 16, 2018",0.408
"Jun 18, 2018",0.61
"Jun 21, 2018",0.468
"Jul 1, 2018",0.162
"Jul 3, 2018",0.449
"Jul 6, 2018",0.843
"Jul 6, 2018",0.573
"Jul 8, 2018",0.518
"Jul 11, 2018",0.242
"Jul 11, 2018",0.481
"Jul 11, 2018",0.412
"Jul 11, 2018",0.353
"Jul 16, 2018",0.304
"Jul 16, 2018",0.832
"Jul 16, 2018",0.67
"Jul 16, 2018",0.559
"Jul 18, 2018",0.63
"Jul 21, 2018",0.272
"Jul 21, 2018",0.634
"Jul 21, 2018",0.494
"Jul 21, 2018",0.4
"Jul 23, 2018",0.618
"Jul 26, 2018",0.63
"Jul 28, 2018",0.534
"Aug 2, 2018",0.705
"Aug 5, 2018",0.392
"Aug 5, 2018",0.727
"Aug 5, 2018",0.581
"Aug 5, 2018",0.43
"Aug 7, 2018",0.528
"Aug 10, 2018",0.5
"Aug 12, 2018",0.665
"Aug 15, 2018",0.373
"Aug 15, 2018",0.84
"Aug 15, 2018",0.499
"Aug 20, 2018",0.698
"Aug 20, 2018",0.658
"Aug 20, 2018",0.386
"Aug 20, 2018",0.881
"Aug 20, 2018",0.691
"Aug 22, 2018",0.687
"Aug 25, 2018",0.879
"Aug 25, 2018",0.765
"Aug 25, 2018",0.714
"Aug 27, 2018",0.7
"Aug 30, 2018",0.312
"Aug 30, 2018",0.813
"Aug 30, 2018",0.651
"Sep 6, 2018",0.764
"Sep 9, 2018",
"Sep 9, 2018",0.641
"Sep 11, 2018",1.039
"Sep 14, 2018",0.278
"Sep 14, 2018",0.307
"Sep 14, 2018",0.748
"Sep 14, 2018",0.632
"Sep 19, 2018",
"Sep 19, 2018",0.715
"Sep 24, 2018",0.937
"Sep 24, 2018",0.888
"Sep 24, 2018",0.886
"Sep 26, 2018",0.887
"Sep 29, 2018",0.055
"Sep 29, 2018",0.967
"Sep 29, 2018",0.852
"Oct 11, 2018",1.055
"Oct 14, 2018",0.811
"Oct 14, 2018",1.025
"Oct 19, 2018",0.946
"Oct 21, 2018",0.863
"Oct 24, 2018",1.024
"Oct 24, 2018",0.822
"Oct 26, 2018",0.982
"Oct 29, 2018",0.529
"Oct 29, 2018",1.001
"Nov 3, 2018",0.708
"Nov 3, 2018",1.012
"Nov 3, 2018",0.775
"Nov 3, 2018",0.905
"Nov 5, 2018",0.941
"Nov 8, 2018",1.034
"Nov 8, 2018",0.864
"Nov 8, 2018",0.834
"Nov 8, 2018",1.062
"Nov 10, 2018",1.075
"Nov 13, 2018",0.953
"Nov 13, 2018",1.013
"Nov 13, 2018",0.76
"Nov 13, 2018",1.051
"Nov 15, 2018",0.93
"Nov 18, 2018",0.898
"Nov 18, 2018",
"Nov 18, 2018",0.905
"Nov 18, 2018",1.019
"Nov 20, 2018",0.994
"Nov 23, 2018",0.233
"Nov 28, 2018",0.954
"Nov 28, 2018",0.349
"Dec 3, 2018",0.962
"Dec 3, 2018",0.823
"Dec 3, 2018",0.933
"Dec 3, 2018",1.061
"Dec 5, 2018",1.11
"Dec 8, 2018",1.015
"Dec 8, 2018",0.874
"Dec 8, 2018",0.92
"Dec 8, 2018",1.048
"Dec 10, 2018",0.998
"Dec 13, 2018",0.989
"Dec 13, 2018",0.93
"Dec 13, 2018",0.885
"Dec 13, 2018",1.053
"Dec 15, 2018",0.948
"Dec 18, 2018",0.901
"Dec 18, 2018",0.971
"Dec 18, 2018",0.88
"Dec 18, 2018",0.88
"Dec 18, 2018",0.972
"Dec 20, 2018",0.982
"Dec 23, 2018",1.047
"Dec 23, 2018",1.115
"Dec 23, 2018",0.922
"Dec 23, 2018",1.068
"Dec 25, 2018",1.095
"Dec 28, 2018",0.948
"Dec 28, 2018",0.921
"Dec 28, 2018",0.255
"Dec 28, 2018",0.255
"Dec 30, 2018",0.872
"Jan 2, 2019",0.901
"Jan 2, 2019",1.022
"Jan 2, 2019",0.866
"Jan 2, 2019",1.089
"Jan 4, 2019",0.975
"Jan 7, 2019",0.952
"Jan 7, 2019",
"Jan 7, 2019",0.877
"Jan 7, 2019",1.024
"Jan 9, 2019",0.917
"Jan 12, 2019",0.944
"Jan 12, 2019",1.09
"Jan 12, 2019",0.88
"Jan 12, 2019",1.009
"Jan 14, 2019",1.254
"Jan 17, 2019",0.878
"Jan 17, 2019",1.154
"Jan 17, 2019",0.944
"Jan 17, 2019",0.979
"Jan 19, 2019",0.901
"Jan 22, 2019",1.041
"Jan 22, 2019",1.046
"Jan 24, 2019",0.964
"Jan 27, 2019",0.93
"Jan 27, 2019",0.912
"Jan 27, 2019",
"Jan 27, 2019",1.026
"Feb 1, 2019",0.887
"Feb 1, 2019",1.025
"Feb 1, 2019",0.959
"Feb 3, 2019",0.861
"Feb 6, 2019",0.93
