system:time_start,ARVI
"Jan 8, 2018",1.317
"Jan 9, 2018",0.954
"Feb 8, 2018",0.995
"Feb 9, 2018",0.859
"Mar 8, 2018",0.941
"Mar 9, 2018",0.815
"Apr 8, 2018",0.78
"Apr 9, 2018",0.768
"May 8, 2018",0.593
"May 9, 2018",0.636
"Jun 8, 2018",0.644
"Jun 9, 2018",0.41
"Jul 8, 2018",0.559
"Jul 9, 2018",0.395
"Aug 8, 2018",0.528
"Aug 9, 2018",0.538
"Sep 8, 2018",0.66
"Sep 9, 2018",0.697
"Oct 8, 2018",0.681
"Oct 9, 2018",0.909
"Nov 8, 2018",0.906
"Nov 9, 2018",0.778
"Dec 8, 2018",0.93
"Dec 9, 2018",0.807
"Jan 8, 2019",1.018
"Jan 9, 2019",0.908
"Feb 8, 2019",0.927
"Feb 9, 2019",0.764
"Mar 8, 2019",0.789
"Mar 9, 2019",0.74
"Apr 8, 2019",0.74
"Apr 9, 2019",0.775
"May 8, 2019",0.691
"May 9, 2019",0.639
"Jun 8, 2019",0.625
"Jun 9, 2019",0.609
"Jul 8, 2019",0.495
"Jul 9, 2019",0.572
"Aug 8, 2019",0.654
"Aug 9, 2019",0.655
"Sep 8, 2019",0.647
"Sep 9, 2019",0.703
"Oct 8, 2019",0.871
"Oct 9, 2019",0.941
"Nov 8, 2019",0.812
"Nov 9, 2019",0.867
"Dec 8, 2019",0.988
"Dec 9, 2019",0.995
"Jan 8, 2020",0.937
"Jan 9, 2020",0.801
"Feb 8, 2020",0.931
"Feb 9, 2020",0.888
"Mar 8, 2020",0.944
"Mar 9, 2020",0.761
"Apr 8, 2020",0.67
"Apr 9, 2020",0.627
"May 8, 2020",0.507
"May 9, 2020",0.593
"Jun 8, 2020",0.572
"Jun 9, 2020",0.613
"Jul 8, 2020",0.573
