system:time_start,NDVI
27-Jan-18,0.472
27-Jan-18,0.382
4-Feb-18,0.5
6-Feb-18,0.505
8-Mar-18,0.526
23-Mar-18,0.571
28-Mar-18,0.528
9-Jun-18,0.527
19-Jun-18,0.614
26-Jun-18,0.139
26-Jun-18,0.401
1-Jul-18,0.575
6-Jul-18,-0.013
11-Jul-18,0.013
11-Jul-18,0.524
14-Jul-18,0.585
26-Jul-18,0.075
26-Jul-18,0.569
26-Jul-18,0.327
29-Jul-18,0.4
31-Jul-18,0.482
31-Jul-18,0.481
3-Aug-18,0.553
10-Aug-18,0.151
10-Aug-18,0.499
13-Aug-18,0.529
15-Aug-18,0.481
18-Aug-18,0.586
20-Aug-18,0.575
20-Aug-18,0.48
23-Aug-18,0.576
25-Aug-18,0.059
25-Aug-18,0.538
28-Aug-18,0.581
30-Aug-18,0.023
30-Aug-18,0.6
30-Aug-18,0.674
30-Aug-18,0.442
2-Sep-18,0.351
4-Sep-18,0.058
4-Sep-18,0.515
4-Sep-18,0.715
4-Sep-18,0.485
7-Sep-18,0.634
9-Sep-18,0.545
9-Sep-18,0.738
9-Sep-18,0.472
12-Sep-18,0.472
14-Sep-18,0.534
14-Sep-18,0.684
14-Sep-18,0.521
17-Sep-18,0.306
22-Sep-18,0.581
24-Sep-18,0.003
24-Sep-18,0.559
24-Sep-18,0.45
27-Sep-18,0.566
29-Sep-18,0.103
29-Sep-18,0.605
29-Sep-18,0.53
29-Sep-18,0.436
2-Oct-18,0.536
4-Oct-18,0.088
4-Oct-18,0.585
4-Oct-18,0.395
7-Oct-18,0.639
9-Oct-18,0.104
9-Oct-18,0.596
9-Oct-18,0.544
9-Oct-18,0.599
14-Oct-18,0.02
14-Oct-18,0.623
14-Oct-18,0.731
14-Oct-18,0.441
24-Oct-18,0.609
24-Oct-18,0.475
27-Oct-18,0.596
29-Oct-18,0.563
1-Nov-18,0.467
8-Nov-18,0.564
8-Nov-18,0.493
13-Nov-18,0.424
23-Nov-18,0.484
1-Dec-18,0.462
3-Dec-18,0.381
8-Dec-18,0.497
21-Dec-18,0.562
28-Dec-18,0.468
28-Dec-18,0.503
31-Dec-18,0.44
2-Jan-19,0.468
7-Jan-19,0.465
12-Jan-19,0.56
11-Feb-19,0.487
24-Feb-19,0.551
26-Feb-19,0.556
8-Mar-19,0.48
16-Mar-19,0.509
18-Mar-19,0.503
21-Mar-19,0.492
23-Mar-19,0.452
23-Mar-19,0.33
26-Mar-19,0.595
27-Apr-19,0.552
6-Jun-19,0.468
14-Jun-19,0.434
21-Jun-19,0.442
21-Jun-19,0.422
21-Jun-19,0.044
6-Jul-19,0.352
6-Jul-19,0.45
9-Jul-19,0.608
11-Jul-19,0.404
14-Jul-19,0.453
19-Jul-19,0.377
21-Jul-19,0.514
24-Jul-19,0.417
26-Jul-19,0.344
31-Jul-19,0.431
5-Aug-19,0.566
10-Aug-19,0.399
20-Aug-19,0.609
20-Aug-19,0.476
20-Aug-19,0.667
23-Aug-19,0.628
25-Aug-19,0.463
25-Aug-19,0.47
25-Aug-19,0.671
28-Aug-19,0.456
30-Aug-19,0.532
30-Aug-19,0.401
30-Aug-19,0.099
30-Aug-19,0.617
2-Sep-19,0.61
4-Sep-19,0.514
12-Sep-19,0.604
17-Sep-19,0.521
19-Sep-19,0.526
19-Sep-19,0.471
19-Sep-19,0.1
19-Sep-19,0.536
22-Sep-19,0.548
24-Sep-19,0.57
24-Sep-19,0.438
27-Sep-19,0.61
29-Sep-19,0.593
29-Sep-19,0.503
29-Sep-19,0.074
2-Oct-19,0.416
4-Oct-19,0.566
4-Oct-19,0.402
7-Oct-19,0.618
9-Oct-19,0.502
9-Oct-19,0.495
9-Oct-19,0.115
12-Oct-19,0.615
