system:time_start,NNIRV,,,,,
27-Jan-18,"1,048.94",,,,,
27-Jan-18,811.749,,,,,
4-Feb-18,966.929,,,,,
6-Feb-18,"1,098.22",,,,,
8-Mar-18,"1,322.75",,,,,
23-Mar-18,"1,536.58",,,,,
28-Mar-18,"1,371.06",,,,,
9-Jun-18,"1,154.64",,,,,
19-Jun-18,"1,321.99",,,,,
26-Jun-18,378.176,,,,,
26-Jun-18,"1,002.95",,,,,
1-Jul-18,"1,413.75",,,,,
6-Jul-18,102.468,,,,,
11-Jul-18,575.645,,,,,
11-Jul-18,"1,248.29",,,,,
14-Jul-18,"1,254.93",,,,,
26-Jul-18,484.514,,,,,
26-Jul-18,"1,334.83",,,,,
26-Jul-18,794.313,,,,,
29-Jul-18,981.049,,,,,
31-Jul-18,"1,206.91",,,,,
31-Jul-18,"1,157.32",,,,,
3-Aug-18,"1,240.34",,,,,
10-Aug-18,480.14,,,,,
10-Aug-18,"1,228.53",,,,,
13-Aug-18,"1,214.29",,,,,
15-Aug-18,"1,182.83",,,,,
18-Aug-18,"1,228.11",,,,,
20-Aug-18,"1,543.15",,,,,
20-Aug-18,"1,193.85",,,,,
23-Aug-18,"1,303.87",,,,,
25-Aug-18,545.993,,,,,
25-Aug-18,"1,301.40",,,,,
28-Aug-18,"1,289.41",,,,,
30-Aug-18,583.957,,,,,
30-Aug-18,"1,569.13",,,,,
30-Aug-18,"1,613.96",,,,,
30-Aug-18,"1,164.90",,,,,
2-Sep-18,679.534,,,,,
4-Sep-18,604.157,,,,,
4-Sep-18,"1,365.85",,,,,
4-Sep-18,"1,729.69",,,,,
4-Sep-18,"1,196.14",,,,,
7-Sep-18,"1,345.20",,,,,
9-Sep-18,"1,529.23",,,,,
9-Sep-18,"1,781.13",,,,,
9-Sep-18,"1,187.79",,,,,
12-Sep-18,"1,067.12",,,,,
14-Sep-18,"1,420.30",,,,,
14-Sep-18,"1,637.05",,,,,
14-Sep-18,"1,232.50",,,,,
17-Sep-18,714.825,,,,,
22-Sep-18,"1,297.55",,,,,
24-Sep-18,546.096,,,,,
24-Sep-18,"1,453.22",,,,,
24-Sep-18,"1,158.79",,,,,
27-Sep-18,"1,237.44",,,,,
29-Sep-18,608.247,,,,,
29-Sep-18,"1,673.13",,,,,
29-Sep-18,"1,306.60",,,,,
29-Sep-18,"1,128.61",,,,,
2-Oct-18,"1,223.89",,,,,
4-Oct-18,524.945,,,,,
4-Oct-18,"1,507.80",,,,,
4-Oct-18,995.948,,,,,
7-Oct-18,"1,347.61",,,,,
9-Oct-18,622.647,,,,,
9-Oct-18,"1,634.55",,,,,
9-Oct-18,"1,291.03",,,,,
9-Oct-18,"1,403.70",,,,,
14-Oct-18,588.688,,,,,
14-Oct-18,"1,596.88",,,,,
14-Oct-18,"1,742.62",,,,,
14-Oct-18,"1,113.08",,,,,
24-Oct-18,"1,522.85",,,,,
24-Oct-18,"1,130.52",,,,,
27-Oct-18,"1,256.43",,,,,
29-Oct-18,"1,454.04",,,,,
1-Nov-18,"1,062.74",,,,,
8-Nov-18,"1,431.92",,,,,
8-Nov-18,"1,163.44",,,,,
13-Nov-18,984.219,,,,,
23-Nov-18,"1,153.70",,,,,
1-Dec-18,"1,053.39",,,,,
3-Dec-18,895.89,,,,,
8-Dec-18,"1,193.50",,,,,
21-Dec-18,"1,124.78",,,,,
28-Dec-18,"1,154.42",,,,,
28-Dec-18,"1,083.33",,,,,
31-Dec-18,896.477,,,,,
2-Jan-19,"1,084.24",,,,,
7-Jan-19,"1,101.30",,,,,
12-Jan-19,"1,264.16",,,,,
11-Feb-19,"1,165.47",,,,,
24-Feb-19,"1,134.21",,,,,
26-Feb-19,"1,360.84",,,,,
8-Mar-19,"1,275.66",,,,,
16-Mar-19,"1,083.16",,,,,
18-Mar-19,"1,358.09",,,,,
21-Mar-19,"1,092.42",,,,,
23-Mar-19,"1,174.11",,,,,
23-Mar-19,805.941,,,,,
26-Mar-19,"1,226.16",,,,,
27-Apr-19,"1,423.96",,,,,
6-Jun-19,"1,171.02",,,,,
14-Jun-19,922.708,,,,,
21-Jun-19,"1,089.27",,,,,
21-Jun-19,"1,020.14",,,,,
21-Jun-19,473.891,,,,,
6-Jul-19,893.517,,,,,
6-Jul-19,"1,025.52",,,,,
9-Jul-19,"1,288.58",,,,,
11-Jul-19,824.293,,,,,
14-Jul-19,978.548,,,,,
19-Jul-19,803.217,,,,,
21-Jul-19,"1,311.95",,,,,
24-Jul-19,818.81,,,,,
26-Jul-19,819.661,,,,,
31-Jul-19,"1,051.14",,,,,
5-Aug-19,"1,249.66",,,,,
10-Aug-19,"1,004.19",,,,,
20-Aug-19,"1,458.33",,,,,
20-Aug-19,"1,136.45",,,,,
20-Aug-19,"1,521.28",,,,,
23-Aug-19,"1,313.81",,,,,
25-Aug-19,"1,200.42",,,,,
25-Aug-19,"1,145.81",,,,,
25-Aug-19,"1,571.74",,,,,
28-Aug-19,996.176,,,,,
30-Aug-19,"1,323.59",,,,,
30-Aug-19,939.524,,,,,
30-Aug-19,501.8,,,,,
30-Aug-19,"1,393.87",,,,,
2-Sep-19,"1,271.42",,,,,
4-Sep-19,"1,378.05",,,,,
12-Sep-19,"1,265.50",,,,,
17-Sep-19,"1,176.55",,,,,
19-Sep-19,"1,378.32",,,,,
19-Sep-19,"1,111.70",,,,,
19-Sep-19,508.574,,,,,
19-Sep-19,"1,254.72",,,,,
22-Sep-19,"1,206.78",,,,,
24-Sep-19,"1,550.16",,,,,
24-Sep-19,"1,125.66",,,,,
27-Sep-19,"1,334.92",,,,,
29-Sep-19,"1,530.96",,,,,
