system:time_start,surface_solar_radiation_downwards
"Jan 1, 2018","5,221,649.833"
"Jan 2, 2018","4,335,803.333"
"Jan 3, 2018","2,117,488.5"
"Jan 4, 2018","1,309,567.667"
"Jan 5, 2018","2,322,941.5"
"Jan 6, 2018","2,831,360.667"
"Jan 7, 2018","4,068,728.5"
"Jan 8, 2018","2,756,003.167"
"Jan 9, 2018","4,441,720.25"
"Jan 10, 2018","3,581,370.667"
"Jan 11, 2018","4,180,218.583"
"Jan 12, 2018","4,634,958.5"
"Jan 13, 2018","4,670,760.25"
"Jan 14, 2018","5,341,702.083"
"Jan 15, 2018","5,170,702.583"
"Jan 16, 2018","5,508,797.333"
"Jan 17, 2018","4,595,626.833"
"Jan 18, 2018","4,938,397.917"
"Jan 19, 2018","4,301,853.333"
"Jan 20, 2018","5,131,500.667"
"Jan 21, 2018","5,335,180.167"
"Jan 22, 2018","5,480,431.917"
"Jan 23, 2018","5,736,469.833"
"Jan 24, 2018","5,454,176.083"
"Jan 25, 2018","5,010,691.75"
"Jan 26, 2018","5,251,208.75"
"Jan 27, 2018","5,416,005.25"
"Jan 28, 2018","5,748,178"
"Jan 29, 2018","5,756,296"
"Jan 30, 2018","6,040,794.25"
"Jan 31, 2018","6,124,730.167"
"Feb 1, 2018","5,324,519.333"
"Feb 2, 2018","5,169,051.083"
"Feb 3, 2018","5,958,749.583"
"Feb 4, 2018","5,644,391.167"
"Feb 5, 2018","6,246,457.167"
"Feb 6, 2018","6,261,962.333"
"Feb 7, 2018","6,032,113.333"
"Feb 8, 2018","6,212,559.917"
"Feb 9, 2018","5,907,461.167"
"Feb 10, 2018","6,112,153.083"
"Feb 11, 2018","6,391,387.583"
"Feb 12, 2018","6,038,968.083"
"Feb 13, 2018","6,352,009.667"
"Feb 14, 2018","6,495,475"
"Feb 15, 2018","6,168,934.917"
"Feb 16, 2018","6,410,781.833"
"Feb 17, 2018","6,317,729.167"
"Feb 18, 2018","5,984,053.5"
"Feb 19, 2018","6,697,954.75"
"Feb 20, 2018","6,909,418.25"
"Feb 21, 2018","6,701,549.917"
"Feb 22, 2018","6,591,576.167"
"Feb 23, 2018","6,616,531.417"
"Feb 24, 2018","6,430,121.5"
"Feb 25, 2018","6,523,788.167"
"Feb 26, 2018","6,881,431.25"
"Feb 27, 2018","6,936,756.75"
"Feb 28, 2018","6,962,225.167"
"Mar 1, 2018","6,890,863.917"
"Mar 2, 2018","6,947,377.5"
"Mar 3, 2018","7,176,218.083"
"Mar 4, 2018","7,147,511.251"
"Mar 5, 2018","7,208,026.673"
"Mar 6, 2018","6,745,132.155"
"Mar 7, 2018","6,300,435.032"
"Mar 8, 2018","6,013,651.146"
"Mar 9, 2018","6,458,835.833"
"Mar 10, 2018","6,924,512.495"
"Mar 11, 2018","6,963,756.964"
"Mar 12, 2018","6,893,923.888"
"Mar 13, 2018","7,071,364.561"
"Mar 14, 2018","6,879,918.456"
"Mar 15, 2018","6,594,013.286"
"Mar 16, 2018","6,653,837.173"
"Mar 17, 2018","7,100,547.266"
"Mar 18, 2018","7,124,533.62"
"Mar 19, 2018","7,565,133.938"
"Mar 20, 2018","6,624,713.452"
"Mar 21, 2018","6,701,684.083"
"Mar 22, 2018","7,470,777.5"
"Mar 23, 2018","7,265,817.917"
"Mar 24, 2018","6,455,541.5"
"Mar 25, 2018","7,081,092.083"
"Mar 26, 2018","7,660,987.417"
"Mar 27, 2018","7,749,445.917"
"Mar 28, 2018","8,021,716.333"
"Mar 29, 2018","7,348,127.167"
"Mar 30, 2018","7,575,494.083"
"Mar 31, 2018","6,848,123.833"
"Apr 1, 2018","6,965,515.833"
"Apr 2, 2018","7,133,439.917"
"Apr 3, 2018","7,722,775.5"
"Apr 4, 2018","7,603,616.083"
"Apr 5, 2018","7,599,594.833"
"Apr 6, 2018","7,305,596.583"
"Apr 7, 2018","6,673,326.833"
"Apr 8, 2018","7,212,495.75"
"Apr 9, 2018","7,690,101.083"
"Apr 10, 2018","7,571,544.167"
"Apr 11, 2018","7,331,482.333"
"Apr 12, 2018","7,529,207.75"
"Apr 13, 2018","7,192,848.833"
"Apr 14, 2018","7,465,876.083"
"Apr 15, 2018","7,748,288.417"
"Apr 16, 2018","8,042,186.917"
"Apr 17, 2018","8,034,438.75"
"Apr 18, 2018","7,665,099.333"
"Apr 19, 2018","7,440,499.417"
"Apr 20, 2018","7,466,142.583"
"Apr 21, 2018","8,025,756.25"
"Apr 22, 2018","7,542,249.333"
"Apr 23, 2018","7,647,644.917"
"Apr 24, 2018","7,949,696.5"
"Apr 25, 2018","7,230,337"
"Apr 26, 2018","7,709,996.333"
"Apr 27, 2018","7,457,827.25"
"Apr 28, 2018","7,715,974.5"
"Apr 29, 2018","7,555,191.667"
"Apr 30, 2018","7,553,383.5"
"May 1, 2018","7,257,388.167"
"May 2, 2018","7,468,217.583"
"May 3, 2018","6,962,435.333"
"May 4, 2018","5,514,010.417"
"May 5, 2018","3,813,117.417"
"May 6, 2018","3,290,837.25"
"May 7, 2018","6,914,957.083"
"May 8, 2018","7,023,142.667"
"May 9, 2018","7,183,241.167"
"May 10, 2018","7,900,872.333"
"May 11, 2018","6,812,114.25"
"May 12, 2018","7,855,398.167"
"May 13, 2018","7,991,678.167"
"May 14, 2018","7,329,266.25"
"May 15, 2018","7,266,502.417"
"May 16, 2018","7,788,835.833"
"May 17, 2018","7,518,262.333"
"May 18, 2018","7,383,407.5"
"May 19, 2018","8,196,361"
"May 20, 2018","6,946,051.167"
"May 21, 2018","7,604,405.833"
"May 22, 2018","8,255,333.333"
"May 23, 2018","8,351,977.583"
"May 24, 2018","8,296,995.333"
"May 25, 2018","8,206,520.417"
"May 26, 2018","7,705,620.583"
"May 27, 2018","6,663,652.5"
"May 28, 2018","7,234,755.167"
"May 29, 2018","7,946,471.167"
"May 30, 2018","8,306,090.333"
"May 31, 2018","7,929,085.25"
"Jun 1, 2018","7,936,867.917"
"Jun 2, 2018","8,096,925.917"
"Jun 3, 2018","8,066,321.667"
"Jun 4, 2018","8,302,636.667"
"Jun 5, 2018","8,429,993.833"
"Jun 6, 2018","7,814,795.667"
"Jun 7, 2018","7,423,933.917"
"Jun 8, 2018","7,672,829.083"
"Jun 9, 2018","7,547,530.167"
"Jun 10, 2018","7,399,486.333"
"Jun 11, 2018","7,067,215.333"
"Jun 12, 2018","7,469,634.25"
"Jun 13, 2018","7,834,357.917"
"Jun 14, 2018","8,116,510.417"
"Jun 15, 2018","8,385,630.833"
"Jun 16, 2018","8,003,587.333"
"Jun 17, 2018","8,156,931.25"
"Jun 18, 2018","8,043,931"
"Jun 19, 2018","8,100,110.333"
"Jun 20, 2018","7,815,615.833"
"Jun 21, 2018","6,377,174.25"
"Jun 22, 2018","7,874,833.833"
"Jun 23, 2018","7,180,297.667"
"Jun 24, 2018","7,523,308.917"
"Jun 25, 2018","7,708,589.25"
"Jun 26, 2018","7,908,703.167"
"Jun 27, 2018","7,967,403.583"
"Jun 28, 2018","7,731,066.167"
"Jun 29, 2018","7,714,240.917"
"Jun 30, 2018","8,069,503.083"
"Jul 1, 2018","7,863,846.083"
"Jul 2, 2018","7,825,612.667"
"Jul 3, 2018","7,663,299.333"
"Jul 4, 2018","8,029,144.333"
"Jul 5, 2018","8,094,928"
"Jul 6, 2018","7,958,298.25"
"Jul 7, 2018","7,615,554.75"
"Jul 8, 2018","7,942,106.417"
"Jul 9, 2018","7,990,738.833"
"Jul 10, 2018","6,720,002.75"
"Jul 11, 2018","7,736,587.167"
"Jul 12, 2018","8,344,915"
